open,high,low,close,volume,marketCap,Date,rainbow_class,RSI,Weight Mean,Difficulty Mean,Reward Mean,Transaction Sum,Witness Sum,Input Sum,Output Sum,Fee Total Sum,Total Blocks
30.26416447,32.71100888,24.89792399,29.81599318,24294.73,322698835.83,2013-02-25,🔥 Fire Sale,13.138938476753085,599223.6274509804,3651011.6306931996,753.4664289215685,67144,0,142368,153264,1982.1967,204
29.80775701,31.55789397,25.3403734,30.35694663,26825.02,328708939.22,2013-02-26,🔥 Fire Sale,59.25938240444507,699079.2530120482,3651011.6306932,761.3007421686748,63438,0,135802,146211,1709.9491,166
30.37230069,35.58797432,27.77445283,30.62012654,42947.29,331685631.22,2013-02-27,🔥 Fire Sale,68.61431568510825,583343.8756476684,3651011.6306931996,782.4964393782384,60949,0,130979,143148,1688.0902999999998,193
30.58781213,33.70528794,25.48741979,31.0517426,30493.42,336511227.88,2013-02-28,🔥 Fire Sale,78.12106485965808,694657.7619047619,3651011.6306932,788.2317797619048,63021,0,135539,147950,1886.9545,168
30.91942017,34.70765945,26.02968306,32.02815427,126830.64,347227229.24,2013-03-01,🔥 Fire Sale,87.78156099162018,786482.2368421053,3844376.3621149696,831.3672539473685,64535,0,139561,151654,2221.9285,152
32.04618139,40.96944063,32.04618139,34.05816908,39814.92,369364675.22,2013-03-02,🔥 Fire Sale,94.0664808917335,721753.875862069,4367876.0008422,866.8141400000001,55825,0,122000,129340,1749.3222999999998,145
34.06585655,38.84508803,32.34238083,34.30720216,36748.77,372189830.6,2013-03-03,🔥 Fire Sale,94.46917880623634,628659.9254658385,4367876.0008422,855.9574981366461,54459,0,118026,128312,1522.6550000000002,161
34.31301423,42.68141456,33.57873497,34.33427862,12482.77,372621771.48,2013-03-04,🔥 Fire Sale,94.5158724038525,659052.6256983241,4367876.0008422,860.745317877095,64044,0,137804,147372,1878.7548000000002,179
34.33226197,35.77441929,28.00640426,34.27236859,46685.45,372102317.26,2013-03-05,🔥 Fire Sale,92.45655883590068,778311.8561151079,4367876.0008422,895.2971100719424,56868,0,127569,130099,1813.5449999999998,139
34.27958051,39.04147046,31.94087977,38.11063417,85765.94,413908124.84,2013-03-06,🟢 Buy!,97.05175153574856,778402.6580645161,4367876.0008422,1021.8547187096774,62760,0,143248,143563,6177.4858,155
38.11996321,49.44541401,37.83512083,40.81223027,126795.52,443408046.84,2013-03-07,🟢 Buy!,98.02757014249852,807643.7,4367876.0008422,1146.9127256250001,66770,0,153269,152474,2786.0806000000002,160
40.96149436,53.40305387,39.81397714,42.0,157898.36,456479625.0,2013-03-08,🟢 Buy!,98.31113907079714,646063.575,4367876.0008422,1033.91431125,55857,0,121184,129132,1946.2952,160
42.02206786,53.04415728,40.92783325,44.06320999,47043.47,479081106.15,2013-03-09,🟢 Buy!,98.6889235934722,627652.2366863905,4367876.0008422,1090.2849568047336,55546,0,124676,127533,2245.1499000000003,169
44.0691934,54.90380996,42.09177542,46.25376735,44562.53,503093024.9,2013-03-10,🟢 Buy!,98.97092761490086,741750.6448087431,4367876.0008422,1147.167981420765,73844,0,157131,174487,2775.7457999999997,183
46.21466426,49.15566286,41.36201509,46.27156621,36323.44,503498842.17,2013-03-11,🟢 Buy!,98.97299863248034,682182.731707317,4367876.0008422,1181.4616615853658,59289,0,130621,141983,2330.7176,164
46.27252893,56.56057437,43.3243333,47.82448332,41447.44,520592815.38,2013-03-12,🟢 Buy!,99.14601662608844,719973.0962962963,4367876.000842201,1208.6563437037041,48484,0,115305,121796,3159.9046,135
47.80631348,52.34242305,38.91503088,46.51248342,183045.14,506467455.09,2013-03-13,🟢 Buy!,85.16013012299561,670376.6624203821,4367876.0008422,1105.9009853503187,56690,0,123113,137446,2300.2215,157
46.5055121,48.50352617,39.63113796,45.74626518,49627.03,498303678.4,2013-03-14,🟢 Buy!,77.7678034135204,624158.2346368715,4665387.720315928,1167.5626290502794,58069,0,130164,145612,2427.7110999999995,179
45.75259783,53.73317481,43.48866605,47.07235772,37129.77,512959838.57,2013-03-15,🟢 Buy!,81.05231143258024,690634.3953488372,4847647.152065598,1194.7961046511628,62776,0,136280,163105,3060.9700999999995,172
47.07619647,52.41145425,41.92051784,46.88043039,20160.32,511068672.25,2013-03-16,🟢 Buy!,79.10076217626602,404121.57714285713,4847647.152065598,1175.3859725714285,34187,0,80505,103294,1467.5434,175
46.83408637,48.20178486,39.08735264,46.90482035,16344.09,511541039.19,2013-03-17,🟢 Buy!,79.17428736657328,323917.8755980861,4847647.152065598,1170.0553,35348,0,78849,91063,1474.5560999999998,209
47.09362255,60.23120303,44.48461511,47.38684263,13912.14,517045540.3,2013-03-18,🟢 Buy!,80.72094893469647,430519.3052631579,4847647.152065598,1180.5787126315788,43485,0,95937,106946,1772.4627,190
47.74176036,61.81042716,47.67972635,51.01725682,65032.52,556899273.73,2013-03-19,🟢 Buy!,88.28309753969955,530138.9882352941,4847647.152065599,1230.5262,46108,0,106775,112478,2511.9498,170
51.11806964,63.81055158,49.93984796,52.36282461,112206.01,571810553.71,2013-03-20,🟢 Buy!,89.96623900388428,416476.18957345973,4847647.152065599,1387.9410398104267,46276,0,103180,115972,2044.8046999999997,211
52.53731073,71.06669193,52.53731073,63.07642377,93178.76,689137525.63,2013-03-21,🟢 Buy!,95.6746020857097,508422.7339449541,4847647.152065599,1560.608906880734,55564,0,131449,138961,3130.2497000000003,218
63.09676946,83.13601967,62.35370176,66.51211423,94152.86,727036438.04,2013-03-22,🟢 Buy!,96.42679939817224,522916.34934497817,4847647.1520656,1742.6377847161573,60584,0,140879,152617,4668.8749,229
66.57375509,88.68329413,66.57375509,69.98967503,73103.28,765449954.81,2013-03-23,🟡 Hold,97.0300103942538,501076.46082949307,4847647.152065599,1778.3259290322578,52914,0,127991,137255,3705.4930999999997,217
